故障编号,故障名称,故障现象,故障原因,解决办法
urma_001,初始化失败,向下级匹配。,向下级匹配。,向下级匹配。
urma_002,urma_provider_bond_init 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 Provider Bond register ops failed；日志路径：URMA_LOG_PATH,urma_provider_bond_init 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_003,urma_register_log_func 校验 URMA 对象 无效导致注册流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_register_log_func 在执行注册前发现调用方传入的 URMA 对象 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,当前不会触发失败
urma_004,urma_register_provider_ops 校验 provider 无效导致注册流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_register_provider_ops 在执行注册前发现调用方传入的 provider 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_005,urma_unregister_provider_ops 校验 provider 无效导致注册流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_unregister_provider_ops 在执行注册前发现调用方传入的 provider 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_006,urma_init 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 urma_init has been called before；日志路径：URMA_LOG_PATH,urma_init 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,查看 `/usr/lib64/urma` 目录下是否存在 `liburma_udma.so` 等驱动文件，确认文件具备执行权限，完成正确部署后重试
urma_007,urma_init 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 None of the providers registered；日志路径：URMA_LOG_PATH,urma_init 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,查看 `/usr/lib64/urma` 目录下是否存在 `liburma_udma.so` 等驱动文件，确认文件具备执行权限，完成正确部署后重试
urma_008,建链失败,向下级匹配。,向下级匹配。,向下级匹配。
urma_009,bondp_create_jfc 执行创建 设备 失败导致当前资源状态无法推进,"关键日志：依次匹配 `Failed to create bondp comp, dev_name:`、`, eid_idx:`；日志路径：URMA_LOG_PATH",bondp_create_jfc 调用下层 provider、bond 组件或系统接口处理 设备 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_010,bondp_create_jfc 执行创建 context 失败导致当前资源状态无法推进,"关键日志：依次匹配 `Failed to create vjfc, dev_name:`、`, eid_idx:`；日志路径：URMA_LOG_PATH",bondp_create_jfc 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
