# === kvcache_conn_fault_003 ===
2026-05-06T13:25:28.429016 | I | client_impl.cpp:100 | kvc-client-pod-abc | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Client init success
2026-05-06T13:25:29.123456 | I | client_impl.cpp:200 | kvc-client-pod-abc | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Get object success key=kv_test_1
2026-05-06T13:26:00.000001 | I | client_impl.cpp:150 | kvc-client-pod-abc | 11:291 | e18c3204-0003-0003-0003-000000000003 | tenant1 | K_INVALID The objectKey is empty

# === kvcache_conn_fault_004 ===
2026-05-06T13:25:28.429016 | I | client_impl.cpp:100 | kvc-client-pod-abc | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Client init success
2026-05-06T13:25:29.123456 | I | client_impl.cpp:200 | kvc-client-pod-abc | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Get object success key=kv_test_1
2026-05-06T13:26:01.000001 | I | client_impl.cpp:80 | kvc-client-pod-abc | 11:291 | e18c3204-0004-0004-0004-000000000004 | tenant1 | ConnectOptions was not configured

# === kvcache_conn_fault_005 ===
2026-05-06T13:25:28.429016 | I | client_impl.cpp:100 | kvc-client-pod-abc | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Client init success
2026-05-06T13:25:29.123456 | I | client_impl.cpp:200 | kvc-client-pod-abc | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Get object success key=kv_test_1
2026-05-06T13:26:02.000001 | I | client_impl.cpp:250 | kvc-client-pod-abc | 11:291 | e18c3204-0005-0005-0005-000000000005 | tenant1 | Client object is already sealed

# === kvcache_conn_fault_007 ===
2026-05-06T13:25:28.429016 | I | client_impl.cpp:100 | kvc-client-pod-abc | 11:291 | e18c3204-0001-0001-0001-000000000001 | tenant1 | Client init success
2026-05-06T13:25:29.123456 | I | client_impl.cpp:200 | kvc-client-pod-abc | 12:301 | e18c3204-0002-0002-0002-000000000002 | tenant1 | Get object success key=kv_test_1
