故障编码,故障名称,故障现象,故障原因,解决办法,故障下级编码
kvcache_conn_fault_001,KVCache中断异常,"access log中status_code（第8列）非0大量增多，或进程挂、连接断（08手册:L74）",向下级匹配,向下级匹配,"kvcache_conn_fault_002,kvcache_conn_fault_006,kvcache_conn_fault_007,kvcache_conn_fault_008,kvcache_conn_fault_009,kvcache_conn_fault_010,kvcache_conn_fault_011,kvcache_conn_fault_012,kvcache_conn_fault_020,kvcache_conn_fault_028"
kvcache_conn_fault_002,用户侧错误（code=0/respMsg异常 + code=2/3/8）,"access log中status_code为2/3/8，或code=0配合respMsg含异常内容（08手册:L127-130）",向下级匹配,向下级匹配,"kvcache_conn_fault_002_001,kvcache_conn_fault_002_002,kvcache_conn_fault_002_003,kvcache_conn_fault_002_004,kvcache_conn_fault_002_005,kvcache_conn_fault_002_006,kvcache_conn_fault_002_007,kvcache_conn_fault_002_008"
kvcache_conn_fault_002_001,respMsg参数非法类故障,"access log中code=2且respMsg含The objectKey is empty / dataSize should be bigger than zero / length not match（08手册:L246-249）",业务参数非法，属于用户侧问题（08手册:L247）,业务方校验调用参数（08手册:L247）,
kvcache_conn_fault_002_002,respMsg未配置Init故障,"access log或INFO log中respMsg含ConnectOptions was not configured（08手册:L248）",未配置Init就发起调用，属于用户侧问题（08手册:L248）,检查业务侧Init调用是否正确配置ConnectOptions（08手册:L248）,
kvcache_conn_fault_002_003,respMsg重复Publish故障,"access log或INFO log中respMsg含Client object is already sealed（08手册:L249）",buffer重复Publish，属于用户业务逻辑问题（08手册:L249）,检查业务逻辑，确认是否对同一对象重复调用Publish（08手册:L249）,
kvcache_conn_fault_002_004,respMsg批次超限故障,"access log或INFO log中respMsg含OBJECT_KEYS_MAX_SIZE_LIMIT（08手册:L250）",批处理大小超过最大限制，属于用户侧问题（08手册:L250）,拆分批次，减小单次请求的对象数量（08手册:L250）,
kvcache_conn_fault_002_005,respMsg对象不存在故障,"INFO log中匹配Can't find object或K_NOT_FOUND；access log中code=0配合respMsg含NOT_FOUND（08手册:L251）",对象不存在，属于用户侧问题。可能原因：业务未Put直接Get、对象已过期（TTL）、key拼写错误（08手册:L251）,业务方自查Put/Get顺序、key正确性、TTL设置（08手册:L251）,
kvcache_conn_fault_002_006,错误码2 K_INVALID,"access log中status_code（第8列）为2，即K_INVALID（08手册:L130, L189）",K_INVALID表示业务参数非法，属于用户侧问题（08手册:L130）,业务方校验调用参数（08手册:L130, L247）,
kvcache_conn_fault_002_007,错误码3 K_NOT_FOUND,"access log中status_code（第8列）为3，即K_NOT_FOUND（08手册:L130, L189）",K_NOT_FOUND(3)表示对象不存在，属于用户侧问题（08手册:L130）,业务方自查key正确性和Put/Get顺序（08手册:L251）,
kvcache_conn_fault_002_008,错误码8 K_NOT_READY,"access log中status_code（第8列）为8，即K_NOT_READY（08手册:L130, L189）",K_NOT_READY(8)表示Client未就绪，通常Init未完成或顺序错误，属于用户侧问题（08手册:L130）,检查业务侧Init调用和ConnectOptions配置顺序（08手册:L248）,
kvcache_conn_fault_006,错误码5 K_RUNTIME_ERROR,"access log中status_code（第8列）code=5；或Worker INFO log中按日志串细分（08手册:L131, L191-195）",向下级匹配,向下级匹配,"kvcache_conn_fault_006_001,kvcache_conn_fault_006_002,kvcache_conn_fault_006_003"
kvcache_conn_fault_006_001,code=5 + Get mmap entry failed (OS),"INFO log中匹配Get mmap entry failed（08手册:L192, L334）",K_RUNTIME_ERROR(5)配合Get mmap entry failed，属于OS层mlock内存限制问题（08手册:L334）,ulimit -l unlimited；或查看/proc/<pid>/limits确认mlock上限（08手册:L334）,
kvcache_conn_fault_006_002,code=5 + etcd timeout/unavailable (三方etcd),"INFO log中匹配etcd is timeout（Master侧）或etcd is unavailable（Worker侧）（08手册:L193, L217）",etcd集群或到etcd的网络问题，属于三方etcd责任（08手册:L217）,systemctl status etcd；etcdctl endpoint status；排查到etcd的网络（08手册:L273）,
kvcache_conn_fault_006_003,code=5 + urma payload (URMA),"INFO log中匹配urma.*payload或Failed to urma（08手册:L194）",URMA数据面payload问题，属于URMA责任（08手册:L194）,向下级匹配URMA故障（见kvcache_conn_fault_028节）（08手册:L281-308）,kvcache_conn_fault_028
kvcache_conn_fault_007,错误码6 K_OUT_OF_MEMORY (OS),"access log中status_code（第8列）code=6；或dmesg中Out of memory（08手册:L132, L330）",内存不足（OOM），属于OS层问题（08手册:L132）,dmesg | grep -i 'Out of memory'；free -h；扩内存或调整cgroup限制（08手册:L330）,
kvcache_conn_fault_008,错误码7 K_IO_ERROR (OS),"access log中status_code（第8列）code=7；或dmesg（08手册:L132, L331）",IO错误，可能原因包括块设备/文件系统故障或分布式网盘POSIX接口失败（08手册:L331）,dmesg查看IO错误日志；查块设备/文件系统健康状态（08手册:L331）,
kvcache_conn_fault_009,错误码13 K_NO_SPACE (OS),"access log中status_code（第8列）code=13；或df -h检查磁盘满（08手册:L132, L332）",磁盘空间不足，属于OS层问题（08手册:L132）,df -h确认磁盘使用情况；清理磁盘或扩容（08手册:L332）,
kvcache_conn_fault_010,错误码18 K_FILE_LIMIT_REACHED (OS),"access log中status_code（第8列）code=18；或ls /proc/<pid>/fd检查fd数（08手册:L132, L333）",文件描述符耗尽，属于OS层问题（08手册:L132）,ls /proc/<pid>/fd | wc -l对比ulimit -n；调大ulimit -n（08手册:L333）,
kvcache_conn_fault_011,错误码25 K_MASTER_TIMEOUT (三方etcd),"access log中status_code（第8列）code=25；INFO log中etcd is timeout/unavailable；resource.log中ETCD_QUEUE堆积（08手册:L135, L196, L217）",etcd集群或到etcd的网络问题，属于三方etcd责任（08手册:L135）,systemctl status etcd；etcdctl endpoint status；排查到etcd的网络（08手册:L273）,
kvcache_conn_fault_012,yuanrong-datasystem进程内故障（19/23/29/31/32）,"access log中status_code（第8列）为19/23/29/31/32（08手册:L133-136, L197）",向下级匹配，需要根据证据进一步定界（08手册:L256-278）,向下级匹配（08手册:L256-278）,"kvcache_conn_fault_012_001,kvcache_conn_fault_012_002,kvcache_conn_fault_012_003,kvcache_conn_fault_012_004"
kvcache_conn_fault_012_001,对端处理慢/拒绝（RPC超时/服务不可用）,"INFO log中匹配[RPC_RECV_TIMEOUT]或[RPC_SERVICE_UNAVAILABLE]；resource.log中WAITING_TASK_NUM堆积（08手册:L271）",Worker对端处理慢或线程池打满导致RPC超时（08手册:L271）,查Worker CPU使用率、锁争用情况；扩oc_rpc_thread_num线程数（08手册:L271）,
kvcache_conn_fault_012_002,ZMQ相关问题（重建/断开/握手）,"INFO log中匹配zmq_gateway_recreate_total / zmq_event_disconnect_total / zmq_event_handshake_failure_total上升（08手册:L272）",低频可忽略（SDK自重连）；高频转OS查网络；握手失败查TLS/认证配置（08手册:L272）,低频可忽略；高频转OS查网络；握手失败查TLS/认证配置（08手册:L272）,
kvcache_conn_fault_012_003,三方etcd（Master/Worker日志中etcd超时）,"INFO log中匹配etcd is timeout或etcd is unavailable；resource.log中ETCD_QUEUE堆积、ETCD_REQUEST_SUCCESS_RATE下降（08手册:L273）",主责写三方etcd（08手册:L273）,systemctl status etcd；etcdctl endpoint status；排查到etcd的网络（08手册:L273）,
kvcache_conn_fault_012_004,心跳/生命周期/扩缩容,"INFO log中匹配Cannot receive heartbeat from worker / [HealthCheck] Worker is exiting now / meta_is_moving（08手册:L274）",心跳断→kill -CONT恢复；退出→编排自动拉起；扩缩容→SDK自重试（08手册:L274）,心跳断→kill -CONT <pid>；退出由编排拉起；扩缩容SDK自重试（08手册:L274）,
kvcache_conn_fault_020,错误码1001/1002桶码,"access log中status_code（第8列）code=1001或1002；必须按日志前缀分流定界（08手册:L137, L198）",向下级匹配，必须按日志前缀分流定界（08手册:L202-234）,向下级匹配,"kvcache_conn_fault_020_001,kvcache_conn_fault_020_002,kvcache_conn_fault_020_003,kvcache_conn_fault_020_004,kvcache_conn_fault_020_005,kvcache_conn_fault_020_006,kvcache_conn_fault_020_007,kvcache_conn_fault_020_008,kvcache_conn_fault_020_009,kvcache_conn_fault_020_010"
kvcache_conn_fault_020_001,1001/1002 → OS侧TCP连接失败（对端活）,"INFO log中匹配[TCP_CONNECT_FAILED] + 对端Worker活（08手册:L208, L336）",端口不通/iptables/路由问题，属于OS层（08手册:L208）,ss -tnlp确认端口LISTEN；iptables -L -n检查规则（08手册:L336）,
kvcache_conn_fault_020_002,1001/1002 → OS侧TCP连接重置/网络不可达,"INFO log中匹配[TCP_CONNECT_RESET]或[TCP_NETWORK_UNREACHABLE]；dmesg/netstat确认（08手册:L209, L337）",网络闪断或路由不可达，属于OS层（08手册:L209）,dmesg查看系统日志；netstat -s | grep reset查看重置统计（08手册:L337）,
