故障编码,故障域,故障名称,故障表现（验证方法）,故障原因,解决办法
urma_001,用户,初始化URMA资源所需输入对象无效导致初始化端口失败,关键日志：匹配`init_active_indices`，匹配`Invalid port_count:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化端口，调用方传入的初始化URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_002,用户,初始化URMA资源所需输入对象无效导致激活端口失败,"关键日志：匹配`init_active_indices`，匹配`Invalid active port id, value: 0x`，匹配`x.`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于激活端口，调用方传入的初始化URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_003,URMA,未找到可用于初始化端口的有效对象或路由,关键日志：匹配`init_target_active_indices`，匹配`Failed to find connected port`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在初始化端口过程中需要查找已建立的资源、端口或路由映射，但当前表项缺失或状态不可用，导致后续操作无法定位目标。,无
urma_004,URMA,初始化JFS过程中依赖步骤失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to init active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化JFS，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_005,URMA,JFS数据通路处理失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to init jfs wr buf`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_006,URMA,初始化JFR过程中依赖步骤失败,关键日志：匹配`bondp_create_vjfr`，匹配`bondp init jfr fail:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_007,URMA,初始化JFR过程中依赖步骤失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info`，匹配`Failed to init active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_008,URMA,JFR数据通路处理失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info`，匹配`Failed to init jfr wr buf`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_009,URMA,初始化Jetty过程中依赖步骤失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to init active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_010,URMA,Jetty数据通路处理失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to init jetty send wr buf`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_011,URMA,Jetty数据通路处理失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to init jetty recv wr buf`；日志路径：系统日志文件（URMA_LOG_PATH）,函数处理URMA数据收发路径，需要完成WR转换、投递、完成事件处理或重传，相关对象状态或下层操作失败导致数据通路中断。,无
urma_012,URMA,初始化物理 Jetty过程中依赖步骤失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to init active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化物理 Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_013,URMA,初始化物理 Jetty过程中依赖步骤失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to init target active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化物理 Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_014,URMA,初始化物理 JFR过程中依赖步骤失败,关键日志：匹配`bondp_unimport_pjfr`，匹配`Failed to init active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化物理 JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
